     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         253.500;           0.248;           0.000;        104;        112;      742968.089;      748525.268;      746033.529;         973.225 ( 0.130 %);    110.611
       IKJ;         253.500;           0.248;           0.000;        104;        112;      460192.643;      468704.062;      465787.294;        1622.456 ( 0.348 %);    177.161
       IEX;         253.500;           0.248;           0.000;        104;        112;      442600.500;      446008.536;      444101.741;         951.152 ( 0.214 %);    185.812
  UNROLLx4;         253.500;           0.248;           0.000;        104;        112;      267362.098;      273849.750;      272162.798;        1031.909 ( 0.379 %);    303.199
  UNROLLx8;         253.500;           0.248;           0.000;        104;        112;      252683.304;      255243.661;      254131.754;         607.255 ( 0.239 %);    324.712
     CBLAS;         253.500;           0.248;           0.000;        104;        112;      554000.938;      558792.098;      555867.690;        1042.904 ( 0.188 %);    148.452
