     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         253.500;           0.248;           0.000;        104;        112;      681174.223;      701375.036;      682139.676;        3459.239 ( 0.507 %);    120.972
       IKJ;         253.500;           0.248;           0.000;        104;        112;      246141.491;      247384.339;      247172.352;         191.739 ( 0.078 %);    333.854
       IEX;         253.500;           0.248;           0.000;        104;        112;      246357.786;      247551.455;      247384.824;         186.932 ( 0.076 %);    333.567
  UNROLLx4;         253.500;           0.248;           0.000;        104;        112;      405611.205;      406279.750;      405705.825;         131.063 ( 0.032 %);    203.397
  UNROLLx8;         253.500;           0.248;           0.000;        104;        112;      377735.518;      378242.688;      377788.773;          98.467 ( 0.026 %);    218.428
     CBLAS;         253.500;           0.248;           0.000;        104;        112;      534023.661;      534172.000;      534077.465;          35.348 ( 0.007 %);    154.509
