     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         253.500;           0.248;           0.000;        104;        112;      736794.143;      759319.741;      740741.859;        4494.423 ( 0.607 %);    111.401
       IKJ;         253.500;           0.248;           0.000;        104;        112;      195555.277;      199657.875;      196337.708;         697.481 ( 0.355 %);    420.294
       IEX;         253.500;           0.248;           0.000;        104;        112;      185853.402;      192379.884;      187533.263;        1055.358 ( 0.563 %);    440.026
  UNROLLx4;         253.500;           0.248;           0.000;        104;        112;      239486.857;      242867.536;      240500.043;         733.939 ( 0.305 %);    343.116
  UNROLLx8;         253.500;           0.248;           0.000;        104;        112;      254727.973;      255950.830;      255719.427;         189.862 ( 0.074 %);    322.696
     CBLAS;         253.500;           0.248;           0.000;        104;        112;      534026.036;      537108.384;      534315.723;         586.306 ( 0.110 %);    154.440
