     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         253.500;           0.248;           0.000;        104;        112;      672500.223;      681926.357;      673290.393;        1660.670 ( 0.247 %);    122.562
       IKJ;         253.500;           0.248;           0.000;        104;        112;      246133.786;      256936.830;      255365.042;        2167.111 ( 0.849 %);    323.143
       IEX;         253.500;           0.248;           0.000;        104;        112;      254641.259;      257448.402;      256255.684;         691.188 ( 0.270 %);    322.020
  UNROLLx4;         253.500;           0.248;           0.000;        104;        112;      405613.366;      408263.223;      405977.831;         652.475 ( 0.161 %);    203.261
  UNROLLx8;         253.500;           0.248;           0.000;        104;        112;      379934.562;      384079.741;      382474.296;         919.997 ( 0.241 %);    215.752
     CBLAS;         253.500;           0.248;           0.000;        104;        112;      554918.455;      566570.527;      557433.736;        1859.245 ( 0.334 %);    148.035
