     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         253.500;           0.248;           0.000;        104;        112;     2071566.946;     2104561.625;     2074235.933;        6022.349 ( 0.290 %);     39.783
       IKJ;         253.500;           0.248;           0.000;        104;        112;      949636.661;      951433.036;      949989.016;         396.618 ( 0.042 %);     86.864
       IEX;         253.500;           0.248;           0.000;        104;        112;      823614.268;      826398.991;      823851.421;         494.464 ( 0.060 %);    100.163
  UNROLLx4;         253.500;           0.248;           0.000;        104;        112;      478564.321;      499520.009;      485972.833;        4386.938 ( 0.903 %);    169.803
  UNROLLx8;         253.500;           0.248;           0.000;        104;        112;      443839.339;      445218.812;      444145.009;         315.937 ( 0.071 %);    185.794
     CBLAS;         253.500;           0.248;           0.000;        104;        112;      533998.420;      540753.214;      538170.026;        1754.140 ( 0.326 %);    153.334
