     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         253.500;           0.248;           0.000;        104;        112;      737992.116;      742300.652;      739664.808;         580.297 ( 0.078 %);    111.563
       IKJ;         253.500;           0.248;           0.000;        104;        112;      532282.777;      540753.911;      536899.102;        1644.728 ( 0.306 %);    153.697
       IEX;         253.500;           0.248;           0.000;        104;        112;      539708.429;      544806.375;      541652.158;        1170.179 ( 0.216 %);    152.348
  UNROLLx4;         253.500;           0.248;           0.000;        104;        112;      393798.866;      398229.607;      395899.723;         932.625 ( 0.236 %);    208.435
  UNROLLx8;         253.500;           0.248;           0.000;        104;        112;      419804.339;      420676.714;      420021.189;         195.480 ( 0.047 %);    196.465
     CBLAS;         253.500;           0.248;           0.000;        104;        112;      550142.259;      554632.545;      552817.461;        1082.137 ( 0.196 %);    149.271
