     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         253.500;           0.248;           0.000;        104;        112;      404626.696;      426729.705;      405680.092;        3806.820 ( 0.938 %);    203.410
       IKJ;         253.500;           0.248;           0.000;        104;        112;      200674.366;      207426.125;      205349.724;        1091.876 ( 0.532 %);    401.849
       IEX;         253.500;           0.248;           0.000;        104;        112;      193603.705;      197664.509;      196142.050;         810.886 ( 0.413 %);    420.713
  UNROLLx4;         253.500;           0.248;           0.000;        104;        112;      250521.321;      257490.071;      251890.050;        1191.860 ( 0.473 %);    327.601
  UNROLLx8;         253.500;           0.248;           0.000;        104;        112;      260853.491;      263407.304;      262397.837;         618.856 ( 0.236 %);    314.483
     CBLAS;         253.500;           0.248;           0.000;        104;        112;      551042.768;      555313.375;      553483.351;         836.281 ( 0.151 %);    149.091
