     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         253.500;           0.248;           0.000;        104;        112;      745486.839;      751614.277;      748747.340;         960.873 ( 0.128 %);    110.210
       IKJ;         253.500;           0.248;           0.000;        104;        112;      527957.786;      535267.411;      531528.992;        1518.593 ( 0.286 %);    155.249
       IEX;         253.500;           0.248;           0.000;        104;        112;      546979.741;      550161.125;      548196.732;         770.158 ( 0.140 %);    150.529
  UNROLLx4;         253.500;           0.248;           0.000;        104;        112;      387218.071;      392637.634;      390341.619;        1013.661 ( 0.260 %);    211.403
  UNROLLx8;         253.500;           0.248;           0.000;        104;        112;      419508.946;      420107.018;      419820.637;         101.432 ( 0.024 %);    196.559
     CBLAS;         253.500;           0.248;           0.000;        104;        112;      549632.884;      553386.625;      551863.847;         976.018 ( 0.177 %);    149.529
