     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         253.500;           0.248;           0.000;        104;        112;     2936017.045;     2953922.786;     2943850.348;        3848.006 ( 0.131 %);     28.031
       IKJ;         253.500;           0.248;           0.000;        104;        112;     2915689.384;     2923600.402;     2920177.939;        2042.908 ( 0.070 %);     28.258
       IEX;         253.500;           0.248;           0.000;        104;        112;     2247590.161;     2256499.036;     2251511.225;        2177.759 ( 0.097 %);     36.651
  UNROLLx4;         253.500;           0.248;           0.000;        104;        112;     1884958.250;     1951843.375;     1920861.029;       14219.665 ( 0.740 %);     42.960
  UNROLLx8;         253.500;           0.248;           0.000;        104;        112;     1627404.857;     1645873.848;     1636318.146;        5159.637 ( 0.315 %);     50.430
     CBLAS;         253.500;           0.248;           0.000;        104;        112;      539687.464;      549839.205;      547722.870;        1769.173 ( 0.323 %);    150.659
