     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         253.500;           0.248;           0.000;        104;        112;      670759.723;      684143.330;      678562.751;        3351.042 ( 0.494 %);    121.609
       IKJ;         253.500;           0.248;           0.000;        104;        112;      246320.045;      256088.036;      253448.067;        1993.893 ( 0.787 %);    325.588
       IEX;         253.500;           0.248;           0.000;        104;        112;      253659.616;      256561.598;      254798.657;         682.206 ( 0.268 %);    323.862
  UNROLLx4;         253.500;           0.248;           0.000;        104;        112;      413467.554;      415716.580;      413758.051;         529.144 ( 0.128 %);    199.439
  UNROLLx8;         253.500;           0.248;           0.000;        104;        112;      377725.902;      382234.580;      378435.458;         804.350 ( 0.213 %);    218.054
     CBLAS;         253.500;           0.248;           0.000;        104;        112;      550225.071;      553942.723;      552475.709;         822.964 ( 0.149 %);    149.363
