     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         253.500;           0.248;           0.000;        104;        112;     1750730.929;     1765416.116;     1752115.503;        2671.038 ( 0.152 %);     47.097
       IKJ;         253.500;           0.248;           0.000;        104;        112;      550852.241;      560715.214;      557667.432;        1887.264 ( 0.338 %);    147.973
       IEX;         253.500;           0.248;           0.000;        104;        112;      548402.179;      553603.571;      551498.455;        1091.121 ( 0.198 %);    149.628
  UNROLLx4;         253.500;           0.248;           0.000;        104;        112;      422065.205;      425440.312;      423716.363;         897.201 ( 0.212 %);    194.752
  UNROLLx8;         253.500;           0.248;           0.000;        104;        112;      419869.580;      422339.955;      420409.027;         506.474 ( 0.120 %);    196.284
     CBLAS;         253.500;           0.248;           0.000;        104;        112;      550626.938;      554211.321;      552305.710;         844.007 ( 0.153 %);    149.409
