     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         253.500;           0.248;           0.000;        104;        112;      738357.018;      740525.786;      738718.214;         573.495 ( 0.078 %);    111.706
       IKJ;         253.500;           0.248;           0.000;        104;        112;      413759.259;      423654.955;      421397.175;        2040.164 ( 0.484 %);    195.824
       IEX;         253.500;           0.248;           0.000;        104;        112;      420838.920;      424571.473;      422096.129;         688.657 ( 0.163 %);    195.499
  UNROLLx4;         253.500;           0.248;           0.000;        104;        112;      383708.232;      388587.089;      385318.994;        1116.495 ( 0.290 %);    214.159
  UNROLLx8;         253.500;           0.248;           0.000;        104;        112;      419007.875;      421243.750;      419736.294;         339.432 ( 0.081 %);    196.599
     CBLAS;         253.500;           0.248;           0.000;        104;        112;      549095.116;      554792.589;      552086.179;        1089.980 ( 0.197 %);    149.469
