     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         253.500;           0.248;           0.000;        104;        112;     3363189.402;     3446280.438;     3366806.423;       14380.513 ( 0.427 %);     24.510
       IKJ;         253.500;           0.248;           0.000;        104;        112;     3102553.768;     3119981.482;     3103682.588;        2966.385 ( 0.096 %);     26.588
       IEX;         253.500;           0.248;           0.000;        104;        112;     2652616.500;     2655140.929;     2653674.090;         583.908 ( 0.022 %);     31.096
  UNROLLx4;         253.500;           0.248;           0.000;        104;        112;     2257728.393;     2274518.464;     2269913.380;        3159.597 ( 0.139 %);     36.354
  UNROLLx8;         253.500;           0.248;           0.000;        104;        112;     2167709.134;     2181933.500;     2177648.045;        2436.117 ( 0.112 %);     37.894
     CBLAS;         253.500;           0.248;           0.000;        104;        112;      550561.652;      555191.214;      552467.181;        1149.712 ( 0.208 %);    149.365
