     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.625;           0.002;           0.000;        104;        112;        3489.456;          63.804;          65.018;          64.014;           0.209 ( 0.326 %);  12395.041
  UNROLLx8;           1.625;           0.002;           0.000;        104;        112;        3459.336;          58.562;          58.946;          58.699;           0.093 ( 0.158 %);  13517.480
