     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.625;           0.002;           0.000;        104;        112;        3779.492;          64.348;          65.054;          64.500;           0.136 ( 0.211 %);  12301.608
  UNROLLx8;           1.625;           0.002;           0.000;        104;        112;        3786.163;          59.036;          59.473;          59.292;           0.118 ( 0.199 %);  13382.208
