     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.625;           0.002;           0.000;        104;        112;        3428.586;          61.330;          61.893;          61.498;           0.108 ( 0.176 %);  12902.251
  UNROLLx8;           1.625;           0.002;           0.000;        104;        112;        1481.841;          58.661;          58.938;          58.805;           0.080 ( 0.137 %);  13492.975
