     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
  UNROLLx8;           1.625;           0.002;           0.000;        104;        112;        3035.229;          28.759;          31.393;          28.927;           0.447 ( 1.545 %);  27429.684
      BASE;           1.625;           0.002;           0.000;        104;        112;        1838.350;          22.277;          23.045;          22.398;           0.126 ( 0.562 %);  35424.927
