     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.625;           0.002;           0.000;        104;        112;        1922.632;          64.625;          66.188;          64.916;           0.269 ( 0.414 %);  12222.803
  UNROLLx8;           1.625;           0.002;           0.000;        104;        112;       19913.768;          58.696;          59.080;          58.843;           0.091 ( 0.154 %);  13484.227
