     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.625;           0.002;           0.000;        104;        112;        3280.319;          64.116;          64.893;          64.281;           0.138 ( 0.215 %);  12343.652
  UNROLLx8;           1.625;           0.002;           0.000;        104;        112;        4561.565;          58.536;          58.902;          58.672;           0.085 ( 0.145 %);  13523.526
