     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.625;           0.002;           0.000;        104;        112;        7030.426;          64.554;          65.188;          64.703;           0.120 ( 0.186 %);  12263.028
  UNROLLx8;           1.625;           0.002;           0.000;        104;        112;       12274.820;          58.634;          59.045;          58.782;           0.090 ( 0.153 %);  13498.254
