     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
  UNROLLx8;           1.625;           0.002;           0.000;        104;        112;        1551.713;          64.750;          67.446;          64.996;           0.450 ( 0.693 %);  12207.844
      BASE;           1.625;           0.002;           0.000;        104;        112;        2331.841;          67.446;          68.071;          67.604;           0.129 ( 0.191 %);  11736.760
