     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.625;           0.002;           0.000;        104;        112;        3593.226;          30.634;          31.464;          30.790;           0.134 ( 0.434 %);  25770.375
  UNROLLx8;           1.625;           0.002;           0.000;        104;        112;        5420.142;          57.643;          58.045;          57.786;           0.085 ( 0.147 %);  13730.960
