     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.625;           0.002;           0.000;        104;        112;        2848.224;          66.625;          67.125;          66.769;           0.104 ( 0.156 %);  11883.673
  UNROLLx8;           1.625;           0.002;           0.000;        104;        112;        1707.452;          58.598;          59.089;          58.746;           0.109 ( 0.186 %);  13506.647
