     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
  UNROLLx8;           1.625;           0.002;           0.000;        104;        112;       11260.702;         244.312;         249.295;         247.943;           0.882 ( 0.356 %);   3200.157
      BASE;           1.625;           0.002;           0.000;        104;        112;        2712.734;         213.625;         300.902;         235.279;          13.975 ( 5.940 %);   3372.402
