     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.625;           0.002;           0.000;        104;        112;        1493.400;          61.411;          62.205;          61.571;           0.139 ( 0.225 %);  12886.830
  UNROLLx8;           1.625;           0.002;           0.000;        104;        112;        2966.056;          59.009;          59.509;          59.193;           0.117 ( 0.197 %);  13404.473
