     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
  UNROLLx8;           1.625;           0.002;           0.000;        104;        112;        6070.231;         199.929;         202.429;         200.265;           0.416 ( 0.208 %);   3962.027
      BASE;           1.625;           0.002;           0.000;        104;        112;        4251.830;         217.357;         218.562;         217.932;           0.295 ( 0.135 %);   3640.845
