     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.625;           0.002;           0.000;        104;        112;         449.842;          66.384;          66.938;          66.518;           0.110 ( 0.166 %);  11928.530
  UNROLLx8;           1.625;           0.002;           0.000;        104;        112;         992.264;          46.107;          46.411;          46.224;           0.082 ( 0.178 %);  17165.367
