     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.625;           0.002;           0.000;        104;        112;         411.827;          59.580;          60.688;          59.748;           0.188 ( 0.315 %);  13279.976
  UNROLLx8;           1.625;           0.002;           0.000;        104;        112;        1071.254;          49.652;          49.920;          49.771;           0.076 ( 0.152 %);  15942.209
