     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.625;           0.002;           0.000;        104;        112;         358.963;          10.750;          12.321;          10.864;           0.266 ( 2.446 %);  73036.067
  UNROLLx8;           1.625;           0.002;           0.000;        104;        112;         448.143;          13.598;          14.321;          13.708;           0.118 ( 0.863 %);  57882.506
