     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.625;           0.002;           0.000;        104;        112;         792.448;          53.866;          54.830;          54.018;           0.162 ( 0.300 %);  14688.791
  UNROLLx8;           1.625;           0.002;           0.000;        104;        112;        2475.327;          45.009;          45.223;          45.109;           0.066 ( 0.146 %);  17589.758
