     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.625;           0.002;           0.000;        104;        112;         768.069;          54.804;          55.839;          54.971;           0.174 ( 0.317 %);  14434.089
  UNROLLx8;           1.625;           0.002;           0.000;        104;        112;         539.664;          46.589;          46.875;          46.698;           0.078 ( 0.166 %);  16991.420
