     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.625;           0.002;           0.000;        104;        112;         884.522;          45.277;          46.464;          45.416;           0.197 ( 0.434 %);  17471.030
  UNROLLx8;           1.625;           0.002;           0.000;        104;        112;         719.717;          44.973;          45.223;          45.088;           0.069 ( 0.154 %);  17597.780
