     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.625;           0.002;           0.000;        104;        112;         748.105;          54.080;          55.286;          54.362;           0.197 ( 0.362 %);  14595.727
  UNROLLx8;           1.625;           0.002;           0.000;        104;        112;         619.672;          45.661;          45.929;          45.798;           0.073 ( 0.159 %);  17325.085
