     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.625;           0.002;           0.000;        104;        112;         608.365;          54.607;          55.696;          54.888;           0.199 ( 0.362 %);  14455.932
  UNROLLx8;           1.625;           0.002;           0.000;        104;        112;         992.457;          45.946;          46.295;          46.085;           0.075 ( 0.162 %);  17217.268
