     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.625;           0.002;           0.000;        104;        112;        1091.428;         230.830;         231.759;         231.237;           0.221 ( 0.096 %);   3431.354
  UNROLLx8;           1.625;           0.002;           0.000;        104;        112;        1323.602;         176.812;         178.232;         177.327;           0.283 ( 0.160 %);   4474.546
