     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.625;           0.002;           0.000;        104;        112;        1453.698;          45.250;          46.330;          45.410;           0.181 ( 0.400 %);  17473.112
  UNROLLx8;           1.625;           0.002;           0.000;        104;        112;         693.074;          44.973;          45.223;          45.125;           0.065 ( 0.143 %);  17583.535
