     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.625;           0.002;           0.000;        104;        112;        2350.820;          53.848;          55.312;          54.029;           0.247 ( 0.457 %);  14685.702
  UNROLLx8;           1.625;           0.002;           0.000;        104;        112;        1709.222;          44.911;          45.250;          45.097;           0.073 ( 0.163 %);  17594.612
