     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.625;           0.002;           0.000;        104;        112;         578.215;         200.705;         202.348;         201.082;           0.472 ( 0.235 %);   3945.933
  UNROLLx8;           1.625;           0.002;           0.000;        104;        112;         855.836;         181.304;         217.366;         185.913;           7.374 ( 3.966 %);   4267.885
