     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.625;           0.002;           0.000;        104;        112;         404.915;          23.482;          24.366;          23.608;           0.143 ( 0.606 %);  33609.732
  UNROLLx8;           1.625;           0.002;           0.000;        104;        112;         548.266;          29.000;          29.339;          29.085;           0.061 ( 0.209 %);  27280.160
